"ID","name","category","type"
"n59","PreventTyphoid","Pro-vaxxer","organization"
"n60","ProfHeidiLarson","Pro-vaxxer","individual"
"n61","roberto_ieraci","Pro-vaxxer","individual"
"n62","sabinvaccine","Pro-vaxxer","organization"
"n63","samicarlson","Pro-vaxxer","individual"
"n64","sanofipasteur","Pro-vaxxer","organization"
"n65","sarahdespres","Pro-vaxxer","individual"
"n66","sciencecohen","Pro-vaxxer","individual"
"n67","ShotAtLife","Pro-vaxxer","organization"
"n68","ShotbyShotorg","Pro-vaxxer","organization"
"n69","ShotsHeard","Pro-vaxxer","individual"
"n70","SJVanders","Pro-vaxxer","individual"
"n71","skepticalraptor","Pro-vaxxer","individual"
"n72","snehiil","Pro-vaxxer","individual"
"n73","Tech_Networks","Pro-vaxxer","organization"
"n74","TheInfluenzers","Pro-vaxxer","organization"
"n75","ThisIsCANVax","Pro-vaxxer","organization"
"n76","UMCVD","Pro-vaxxer","organization"
"n77","VaccinateCal","Pro-vaxxer","organization"
"n78","VaccinateIN","Pro-vaxxer","organization"
"n79","vaccine_trust","Pro-vaxxer","organization"
"n80","VaccineFinder","Pro-vaxxer","organization"
"n81","vaccinemakers","Pro-vaxxer","organization"
"n82","vaccinenation","Pro-vaxxer","organization"
"n83","Vaccines","Pro-vaxxer","organization"
"n84","vaccines4life","Pro-vaxxer","organization"
"n85","VaccineSafetyN","Pro-vaxxer","organization"
"n86","VaccinesEurope","Pro-vaxxer","organization"
"n87","VaccinesToday","Pro-vaxxer","organization"
"n88","VaccineUK","Pro-vaxxer","organization"
"n89","Vaccinologist","Pro-vaxxer","individual"
"n90","vaninalala","Pro-vaxxer","individual"
"n91","VaxAmbassadors","Pro-vaxxer","organization"
"n92","VaxResources","Pro-vaxxer","organization"
"n93","Vaxyourfam","Pro-vaxxer","organization"
"n94","VaxYourFamily","Pro-vaxxer","individual"
"n95","Vi_VIorg","Pro-vaxxer","organization"
"n96","Voices4Vaccines","Pro-vaxxer","organization"
"n97","Wavaorg","Pro-vaxxer","organization"
"n98","wellcometrust","Pro-vaxxer","organization"
"n99","WorkVaccines","Pro-vaxxer","individual"
"n0","1pissedoffmom1","Anti-vaxxer","individual"
"n1","Alec_Zeck","Anti-vaxxer","individual"
